mfcc1 mfcc2 mfcc3 mfcc4 mfcc5 mfcc6 mfcc7 mfcc8 mfcc9 mfcc10 mfcc11 mfcc12 mfcc13 mfcc14 mfcc15 mfcc16 mfcc17 mfcc18 mfcc19 mfcc20 mfcc21 mfcc22 mfcc23 mfcc24 mfcc25 mfcc26 mfcc27 mfcc28 mfcc29 mfcc30 mfcc31 mfcc32 mfcc33 mfcc34 mfcc35 mfcc36 mfcc37 num_onset RMS spec_centroid spec_irregularity spec_flux spec_sped spec_bright harmonicity spec_skew num_dir dep_amt max_spd max_frc dec_rate sense_dist slope_step disp_size
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.001 0 -1 -1 0 -1 -1 -1 -1 1 1 1 1 1 1 1 1
0.444715 -0.287709 -0.264263 0.00270101 -0.122007 -0.268071 -0.0704739 0.084014 -0.00642208 0.0479162 0.284219 0.228025 -0.0736319 -0.119098 0.0405173 0.00548685 -0.160181 -0.143974 -0.0136433 -0.00359348 -0.014301 0.0761727 0.108051 0.0108763 -0.022767 0.050214 0.037814 -0.0887845 -0.122227 -0.00725153 0.064025 0.00507367 -0.0405318 0.00609302 0.0570939 0.0426229 0.00651254 5.001 66.0383 1893.79 0.299485 45.6997 1587.81 0.577022 0.606061 3.2326 1 1 1 1 1 1 1 1
0.397549 -0.414824 -0.350074 0.0616971 0.0285626 -0.187793 -0.0518583 0.2409 0.157228 -0.190137 -0.215251 0.0579175 0.117669 -0.0276239 -0.042605 0.0312726 0.0256495 -0.0305684 -0.0659489 -0.0331668 0.0438765 0.0370403 -0.0420193 -0.0499673 0.00142576 0.0186189 0.0101468 0.00465494 0.0176396 0.0520117 0.0392469 -0.0286449 -0.0450442 -0.0079201 -0.00325548 -0.00953884 0.00531572 10.001 76.2283 2003.69 0.230972 89.5496 1353.93 0.657225 0.484848 2.34356 1 1 1 1 1 1 1 1
0.352403 -0.510416 -0.344062 0.276978 0.252956 -0.272204 -0.384704 0.0763228 0.338335 0.00789315 -0.292877 -0.0404072 0.30497 0.180233 -0.159933 -0.221165 -0.0192516 0.100997 -0.0160653 -0.154828 -0.0744511 0.0912792 0.10013 0.0163839 0.0128948 0.0491976 0.0151451 -0.0486038 -0.039837 0.0242027 0.0258128 -0.0503834 -0.0684666 0.0150728 0.0763801 0.0566993 0.0195239 14.001 80.7904 2118.45 0.332164 127.206 1266.87 0.739964 0.577778 2.25546 1 1 1 1 1 1 1 1
0.419314 -0.47364 -0.532359 0.0575485 0.362671 0.0688782 -0.351105 -0.386196 -0.0219323 0.319679 0.267437 -0.0557619 -0.208604 -0.0397343 0.174971 0.174608 -0.0178944 -0.21582 -0.226326 -0.0202194 0.161371 0.0863942 -0.0999559 -0.0917475 0.0953594 0.178041 0.0498418 -0.112152 -0.122903 0.00139769 0.0935934 0.0416445 -0.0611094 -0.0511785 0.0504403 0.0938409 0.0521055 17.001 84.5981 1867.88 0.326189 180.505 1040.62 0.751185 0.6 2.83709 1 1 1 1 1 1 1 1
0.468225 -0.348339 -0.457717 -0.0358537 0.200013 0.0662452 -0.126124 -0.173956 -0.10523 0.000494606 0.0826734 0.0978251 0.0414262 -0.0298479 -0.0580566 -0.035136 0.0060199 -0.000923224 -0.0701565 -0.115146 -0.0497971 0.0615001 0.0932749 0.0473438 0.00737276 0.00698737 0.00909934 -0.0188315 -0.0465204 -0.0279911 0.0175399 0.0339443 0.0299827 0.0408209 0.0334182 -0.0174487 -0.045519 20.001 85.3669 1743.13 0.330318 132.04 1196.47 0.690931 0.515789 3.14122 1 1 1 1 1 1 1 1
0.256516 -0.422751 -0.433018 -0.0115358 0.241863 0.119417 -0.0618151 -0.129633 -0.0652103 0.0187661 0.0280042 -0.0190357 -0.0115736 0.0117573 0.0254424 0.0208981 0.0013343 -0.0128175 -0.0356039 -0.052305 -0.011166 0.0400943 0.0694336 0.0430543 -0.0195404 -0.0648104 -0.0336016 0.045184 0.061476 -0.00377127 -0.0485008 -0.0371902 0.00772421 0.0363862 0.0261097 -0.0140169 -0.0249583 24.001 30.0526 3011.82 0.236719 57.0323 3411.06 0.795758 0.583333 2.90618 1 1 1 1 1 1 1 1
0.676399 0.107412 -0.200739 -0.243936 -0.279339 -0.365778 -0.338695 -0.162267 0.0196534 0.0936581 0.090537 0.0962449 0.140071 0.189796 0.182979 0.0904368 -0.0500382 -0.17555 -0.225542 -0.197474 -0.135568 -0.0730159 -0.00270917 0.0746386 0.119863 0.110446 0.0814972 0.0625259 0.0459551 0.0258045 0.0092649 -0.0065873 -0.0383752 -0.0748433 -0.081841 -0.0530962 -0.0177172 22.001 82.8401 1144.47 0.271903 107.88 1159.5 0.287944 0.507692 4.85854 1 1 1 1 1 1 1 1
0.704643 0.175253 -0.0995732 -0.0910524 -0.0842822 -0.205764 -0.315466 -0.30729 -0.242743 -0.205067 -0.172464 -0.0887509 0.0307976 0.111255 0.117249 0.0910214 0.0892754 0.120013 0.15265 0.150911 0.105959 0.0424162 0.00329923 -0.00681198 -0.032162 -0.0887718 -0.128653 -0.109835 -0.0521765 -0.00263607 0.026222 0.0462402 0.0535345 0.032529 -0.0108307 -0.0441612 -0.038666 20.001 87.8913 1042.98 0.248492 102.71 1064.38 0.32416 0.583333 4.72969 1 1 1 1 1 1 1 1
0.790122 0.396963 0.13185 0.00273825 -0.108799 -0.203128 -0.249481 -0.287964 -0.320488 -0.279054 -0.153081 -0.0284306 0.0326733 0.0452111 0.0219181 -0.0520643 -0.14806 -0.203553 -0.204958 -0.185086 -0.148332 -0.078117 0.0163377 0.10446 0.163628 0.191501 0.203389 0.209773 0.199398 0.152665 0.0765736 0.00413762 -0.0428412 -0.0681817 -0.0769081 -0.0643621 -0.0344608 18.001 92.7401 788.804 0.343035 174.722 931.457 0.197754 1 4.87106 1 1 1 1 1 1 1 1
